Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
20;insertionSort;Ordered;10;0.002;27;27
20;insertionSort;Ordered;100;0.002;297;297
20;insertionSort;Ordered;10000;0.2;29997;29997
20;insertionSort;Ordered;1000;0.097;2997;2997
20;insertionSort;OrderedInverse;10;0.002;99;108
20;insertionSort;OrderedInverse;100;0.05;9999;10098
20;insertionSort;OrderedInverse;1000;1.92;999999;1000998
20;insertionSort;OrderedInverse;10000;170.763;99999999;100009998
20;insertionSort;AlmostOrdered;10;0.003;41;41
20;insertionSort;AlmostOrdered;100;0.008;1449;1449
20;insertionSort;AlmostOrdered;1000;0.259;128217;128217
20;insertionSort;AlmostOrdered;10000;21.533;12369557;12369557
20;insertionSort;Random;10;0.002;63;64
20;insertionSort;Random;100;0.094;5555;5558
20;insertionSort;Random;1000;1.022;510899;510905
20;insertionSort;Random;10000;85.239;49840983;49840989
