Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
19;bubbleSort;Ordered;10;0.02;11;3
19;bubbleSort;Ordered;100;0.018;101;3
19;bubbleSort;Ordered;1000;0.008;1001;3
19;bubbleSort;Ordered;10000;0.058;10001;3
19;bubbleSort;OrderedInverse;10;0.002;99;191
19;bubbleSort;OrderedInverse;100;0.075;9999;19901
19;bubbleSort;OrderedInverse;1000;3.952;999999;1999001
19;bubbleSort;OrderedInverse;10000;263.774;99999999;199990001
19;bubbleSort;AlmostOrdered;100;0.113;3747;2146
19;bubbleSort;AlmostOrdered;10;0.015;47;31
19;bubbleSort;AlmostOrdered;1000;1.323;429408;255871
19;bubbleSort;AlmostOrdered;10000;100.416;42625071;25117660
19;bubbleSort;Random;10;0.003;83;123
19;bubbleSort;Random;100;0.264;7465;10058
19;bubbleSort;Random;1000;2.666;740860;963341
19;bubbleSort;Random;10000;254.166;74670293;98722530
