Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
21;insertionSort;Ordered;10;0.001;27;27
21;insertionSort;Ordered;100;0.001;297;297
21;insertionSort;Ordered;1000;0.091;2997;2997
21;insertionSort;Ordered;10000;0.09;29997;29997
21;insertionSort;OrderedInverse;10;0.002;99;108
21;insertionSort;OrderedInverse;100;0.113;9999;10098
21;insertionSort;OrderedInverse;1000;1.974;999999;1000998
21;insertionSort;OrderedInverse;10000;170.718;99999999;100009998
21;insertionSort;AlmostOrdered;100;0.005;1439;1439
21;insertionSort;AlmostOrdered;10;0.003;33;33
21;insertionSort;AlmostOrdered;1000;0.34;128555;128555
21;insertionSort;AlmostOrdered;10000;21.43;12418101;12418101
21;insertionSort;Random;10;0.004;65;66
21;insertionSort;Random;100;0.15;5449;5453
21;insertionSort;Random;1000;0.929;502183;502190
21;insertionSort;Random;10000;85.392;49704153;49704163
