Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
10;insertionSort;Ordered;10;0.023;27;27
10;insertionSort;Ordered;100;0.008;297;297
10;insertionSort;Ordered;1000;0.044;2997;2997
10;insertionSort;Ordered;10000;0.044;29997;29997
10;insertionSort;OrderedInverse;10;0.002;99;108
10;insertionSort;OrderedInverse;100;0.085;9999;10098
10;insertionSort;OrderedInverse;1000;3.511;999999;1000998
10;insertionSort;OrderedInverse;10000;174.761;99999999;100009998
10;insertionSort;AlmostOrdered;10;0.002;29;29
10;insertionSort;AlmostOrdered;100;0.036;1669;1669
10;insertionSort;AlmostOrdered;1000;0.363;130059;130059
10;insertionSort;AlmostOrdered;10000;21.604;12524243;12524243
10;insertionSort;Random;100;0.08;5783;5788
10;insertionSort;Random;10;0.003;71;75
10;insertionSort;Random;1000;1.096;512517;512526
10;insertionSort;Random;10000;87.218;49782645;49782653
