Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
40;splaySort;Ordered;10;0.005;56;88
40;splaySort;Ordered;100;0.07;596;898
40;splaySort;Ordered;1000;0.135;5996;8998
40;splaySort;Ordered;10000;1.103;59996;89998
40;splaySort;OrderedInverse;10;0.004;56;88
40;splaySort;OrderedInverse;100;0.026;596;898
40;splaySort;OrderedInverse;1000;0.081;5996;8998
40;splaySort;OrderedInverse;10000;0.948;59996;89998
40;splaySort;AlmostOrdered;10;0.015;72;109
40;splaySort;AlmostOrdered;100;0.054;1279;1935
40;splaySort;AlmostOrdered;1000;0.334;21769;32970
40;splaySort;AlmostOrdered;10000;2.804;316675;479346
40;splaySort;Random;10;0.006;106;162
40;splaySort;Random;100;0.024;2451;3736
40;splaySort;Random;1000;0.344;43599;66124
40;splaySort;Random;10000;5.178;630612;955322
