Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
8;heapSort;Ordered;10;0.006;47;151
8;heapSort;Ordered;100;0.102;966;2732
8;heapSort;Ordered;1000;0.628;14852;39058
8;heapSort;Ordered;10000;59.213;197606;510854
8;heapSort;OrderedInverse;10;0.022;43;119
8;heapSort;OrderedInverse;100;0.098;872;2280
8;heapSort;OrderedInverse;1000;0.991;13613;33895
8;heapSort;OrderedInverse;10000;58.763;186205;456269
8;heapSort;AlmostOrdered;10;0.005;46;150
8;heapSort;AlmostOrdered;100;0.076;929;2605
8;heapSort;AlmostOrdered;1000;0.72;14327;37691
8;heapSort;AlmostOrdered;10000;59.116;193175;494955
8;heapSort;Random;10;0.006;41;147
8;heapSort;Random;100;0.077;936;2520
8;heapSort;Random;1000;0.664;14331;36865
8;heapSort;Random;10000;59.269;193159;484807
