Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
18;mergeSort;Ordered;10;0.01;134;164
18;mergeSort;Ordered;100;0.049;2275;2575
18;mergeSort;Ordered;1000;0.969;31964;34964
18;mergeSort;Ordered;10000;40.593;428984;458984
18;mergeSort;OrderedInverse;10;0.007;134;164
18;mergeSort;OrderedInverse;100;0.109;2275;2575
18;mergeSort;OrderedInverse;1000;0.58;31964;34964
18;mergeSort;OrderedInverse;10000;39.893;428984;458984
18;mergeSort;AlmostOrdered;10;0.005;134;164
18;mergeSort;AlmostOrdered;100;0.048;2275;2575
18;mergeSort;AlmostOrdered;1000;0.746;31964;34964
18;mergeSort;AlmostOrdered;10000;40.197;428984;458984
18;mergeSort;Random;10;0.021;134;164
18;mergeSort;Random;100;0.052;2275;2575
18;mergeSort;Random;1000;0.679;31964;34964
18;mergeSort;Random;10000;40.615;428984;458984
