Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
38;bubbleSort;Ordered;1000;0.006;1001;3
38;bubbleSort;Ordered;10;0.004;11;3
38;bubbleSort;Ordered;100;0.002;101;3
38;bubbleSort;Ordered;10000;0.029;10001;3
38;bubbleSort;OrderedInverse;10;0.002;99;191
38;bubbleSort;OrderedInverse;100;0.027;9999;19901
38;bubbleSort;OrderedInverse;1000;4.212;999999;1999001
38;bubbleSort;OrderedInverse;10000;266.403;99999999;199990001
38;bubbleSort;AlmostOrdered;10;0.003;32;21
38;bubbleSort;AlmostOrdered;100;0.096;3819;2677
38;bubbleSort;AlmostOrdered;1000;1.041;415846;243963
38;bubbleSort;AlmostOrdered;10000;101.487;43174864;24734957
38;bubbleSort;Random;10;0.003;81;122
38;bubbleSort;Random;100;0.357;7085;9141
38;bubbleSort;Random;1000;2.358;760533;1047458
38;bubbleSort;Random;10000;260.258;74833790;99326239
