Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
44;quickSort;Ordered;10;0.025;117;200
44;quickSort;Ordered;100;0.214;10197;11090
44;quickSort;Ordered;1000;3.486;1001997;1010990
44;quickSort;Ordered;10000;371.209;100019997;100109990
44;quickSort;OrderedInverse;10;0.009;92;150
44;quickSort;OrderedInverse;100;0.476;7697;6090
44;quickSort;OrderedInverse;1000;2.66;751997;510990
44;quickSort;OrderedInverse;10000;280.854;75019997;50109990
44;quickSort;AlmostOrdered;10;0.007;73;142
44;quickSort;AlmostOrdered;100;0.232;3968;4628
44;quickSort;AlmostOrdered;1000;1.791;263716;268660
44;quickSort;AlmostOrdered;10000;133.445;25222308;25263320
44;quickSort;Random;10;0.01;51;96
44;quickSort;Random;100;0.159;1114;1318
44;quickSort;Random;1000;0.706;18061;19168
44;quickSort;Random;10000;54.769;253756;228364
