Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
8;insertionSort;Ordered;10;0.003;27;27
8;insertionSort;Ordered;1000;0.028;2997;2997
8;insertionSort;Ordered;100;0.006;297;297
8;insertionSort;Ordered;10000;0.074;29997;29997
8;insertionSort;OrderedInverse;10;0.002;99;108
8;insertionSort;OrderedInverse;100;0.019;9999;10098
8;insertionSort;OrderedInverse;1000;1.795;999999;1000998
8;insertionSort;OrderedInverse;10000;171.08;99999999;100009998
8;insertionSort;AlmostOrdered;10;0.005;35;35
8;insertionSort;AlmostOrdered;100;0.077;1605;1605
8;insertionSort;AlmostOrdered;1000;0.577;136293;136293
8;insertionSort;AlmostOrdered;10000;21.762;12516031;12516031
8;insertionSort;Random;10;0.003;73;76
8;insertionSort;Random;100;0.024;5583;5585
8;insertionSort;Random;1000;1.13;490331;490337
8;insertionSort;Random;10000;85.586;49861213;49861221
