Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
45;selectionSort;Ordered;10;0.002;63;0
45;selectionSort;Ordered;100;0.091;5148;0
45;selectionSort;Ordered;1000;1.103;501498;0
45;selectionSort;Ordered;10000;89.169;50014998;0
45;selectionSort;OrderedInverse;10;0.003;88;40
45;selectionSort;OrderedInverse;100;0.05;7648;2650
45;selectionSort;OrderedInverse;1000;1.538;751498;251500
45;selectionSort;OrderedInverse;10000;94.309;75014998;25015000
45;selectionSort;AlmostOrdered;100;0.041;5279;269
45;selectionSort;AlmostOrdered;10;0.003;68;17
45;selectionSort;AlmostOrdered;1000;1.029;503847;3825
45;selectionSort;AlmostOrdered;10000;89.658;50049776;49760
45;selectionSort;Random;10;0.004;78;42
45;selectionSort;Random;100;0.123;5453;590
45;selectionSort;Random;1000;1.111;506945;8435
45;selectionSort;Random;10000;89.677;50094066;109038
