Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
37;quickSort;Ordered;10;0.007;117;200
37;quickSort;Ordered;100;0.129;10197;11090
37;quickSort;Ordered;1000;5.129;1001997;1010990
37;quickSort;Ordered;10000;369.168;100019997;100109990
37;quickSort;OrderedInverse;10;0.006;92;150
37;quickSort;OrderedInverse;100;0.131;7697;6090
37;quickSort;OrderedInverse;1000;2.583;751997;510990
37;quickSort;OrderedInverse;10000;275.54;75019997;50109990
37;quickSort;AlmostOrdered;10;0.007;62;122
37;quickSort;AlmostOrdered;100;0.153;3436;4056
37;quickSort;AlmostOrdered;1000;1.391;272029;277646
37;quickSort;AlmostOrdered;10000;132.723;25232511;25271750
37;quickSort;Random;10;0.008;57;104
37;quickSort;Random;100;0.322;1145;1440
37;quickSort;Random;1000;0.657;17814;18242
37;quickSort;Random;10000;52.445;249807;229118
