Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
47;heapSort;Ordered;10;0.006;47;151
47;heapSort;Ordered;100;0.137;966;2732
47;heapSort;Ordered;1000;0.863;14852;39058
47;heapSort;Ordered;10000;58.99;197606;510854
47;heapSort;OrderedInverse;10;0.032;43;119
47;heapSort;OrderedInverse;100;0.159;872;2280
47;heapSort;OrderedInverse;1000;0.778;13613;33895
47;heapSort;OrderedInverse;10000;59.718;186205;456269
47;heapSort;AlmostOrdered;10;0.005;44;148
47;heapSort;AlmostOrdered;100;0.089;937;2631
47;heapSort;AlmostOrdered;1000;0.676;14345;37835
47;heapSort;AlmostOrdered;10000;58.786;193106;494782
47;heapSort;Random;10;0.006;46;134
47;heapSort;Random;100;0.066;946;2572
47;heapSort;Random;1000;0.693;14361;37081
47;heapSort;Random;10000;58.681;193356;484752
