Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
20;splaySort;Ordered;10;0.005;56;88
20;splaySort;Ordered;100;0.01;596;898
20;splaySort;Ordered;1000;0.178;5996;8998
20;splaySort;Ordered;10000;0.803;59996;89998
20;splaySort;OrderedInverse;10;0.002;56;88
20;splaySort;OrderedInverse;100;0.01;596;898
20;splaySort;OrderedInverse;1000;0.195;5996;8998
20;splaySort;OrderedInverse;10000;0.905;59996;89998
20;splaySort;AlmostOrdered;10;0.025;72;114
20;splaySort;AlmostOrdered;100;0.152;1346;2043
20;splaySort;AlmostOrdered;1000;0.407;22012;33366
20;splaySort;AlmostOrdered;10000;2.909;316831;479930
20;splaySort;Random;10;0.007;116;175
20;splaySort;Random;100;0.081;2552;3860
20;splaySort;Random;1000;0.386;43860;66642
20;splaySort;Random;10000;5.276;632081;957479
