Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
31;selectionSort;Ordered;10;0.001;63;0
31;selectionSort;Ordered;100;0.05;5148;0
31;selectionSort;Ordered;1000;1.037;501498;0
31;selectionSort;Ordered;10000;89.423;50014998;0
31;selectionSort;OrderedInverse;10;0.003;88;40
31;selectionSort;OrderedInverse;100;0.079;7648;2650
31;selectionSort;OrderedInverse;1000;0.976;751498;251500
31;selectionSort;OrderedInverse;10000;99.341;75014998;25015000
31;selectionSort;AlmostOrdered;10;0.037;69;18
31;selectionSort;AlmostOrdered;100;0.014;5280;276
31;selectionSort;AlmostOrdered;1000;0.966;503836;3802
31;selectionSort;AlmostOrdered;10000;89.431;50050224;50199
31;selectionSort;Random;10;0.015;71;26
31;selectionSort;Random;100;0.191;5481;624
31;selectionSort;Random;1000;1.82;507146;8630
31;selectionSort;Random;10000;90.333;50093634;108615
