Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
41;mergeSort;Ordered;10;0.009;134;164
41;mergeSort;Ordered;100;0.181;2275;2575
41;mergeSort;Ordered;1000;0.456;31964;34964
41;mergeSort;Ordered;10000;39.822;428984;458984
41;mergeSort;OrderedInverse;10;0.021;134;164
41;mergeSort;OrderedInverse;100;0.047;2275;2575
41;mergeSort;OrderedInverse;1000;0.617;31964;34964
41;mergeSort;OrderedInverse;10000;39.947;428984;458984
41;mergeSort;AlmostOrdered;10;0.021;134;164
41;mergeSort;AlmostOrdered;100;0.194;2275;2575
41;mergeSort;AlmostOrdered;1000;0.559;31964;34964
41;mergeSort;AlmostOrdered;10000;40.368;428984;458984
41;mergeSort;Random;10;0.005;134;164
41;mergeSort;Random;100;0.076;2275;2575
41;mergeSort;Random;1000;0.565;31964;34964
41;mergeSort;Random;10000;40.407;428984;458984
