Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
49;bubbleSort;Ordered;10;0.003;11;3
49;bubbleSort;Ordered;100;0.02;101;3
49;bubbleSort;Ordered;10000;0.095;10001;3
49;bubbleSort;Ordered;1000;0.04;1001;3
49;bubbleSort;OrderedInverse;10;0.002;99;191
49;bubbleSort;OrderedInverse;100;0.095;9999;19901
49;bubbleSort;OrderedInverse;1000;2.762;999999;1999001
49;bubbleSort;OrderedInverse;10000;269.86;99999999;199990001
49;bubbleSort;AlmostOrdered;10;0.003;32;21
49;bubbleSort;AlmostOrdered;100;0.07;4200;3026
49;bubbleSort;AlmostOrdered;1000;1.1;429848;255556
49;bubbleSort;AlmostOrdered;10000;102.735;43743088;25448526
49;bubbleSort;Random;10;0.004;72;97
49;bubbleSort;Random;100;0.11;7543;10665
49;bubbleSort;Random;1000;4.271;745863;986020
49;bubbleSort;Random;10000;256.381;74856529;99466835
