Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
2;selectionSort;Ordered;10;0.002;63;0
2;selectionSort;Ordered;100;0.011;5148;0
2;selectionSort;Ordered;1000;1.054;501498;0
2;selectionSort;Ordered;10000;89.455;50014998;0
2;selectionSort;OrderedInverse;10;0.002;88;40
2;selectionSort;OrderedInverse;100;0.053;7648;2650
2;selectionSort;OrderedInverse;1000;1.075;751498;251500
2;selectionSort;OrderedInverse;10000;94.356;75014998;25015000
2;selectionSort;AlmostOrdered;10;0.001;64;4
2;selectionSort;AlmostOrdered;100;0.012;5288;281
2;selectionSort;AlmostOrdered;1000;1.06;503887;3871
2;selectionSort;AlmostOrdered;10000;90.005;50050155;50124
2;selectionSort;Random;10;0.002;77;38
2;selectionSort;Random;100;0.052;5479;622
2;selectionSort;Random;1000;1.092;507147;8625
2;selectionSort;Random;10000;89.646;50091708;106683
