Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
18;insertionSort;Ordered;10;0.013;27;27
18;insertionSort;Ordered;100;0.002;297;297
18;insertionSort;Ordered;1000;0.011;2997;2997
18;insertionSort;Ordered;10000;0.081;29997;29997
18;insertionSort;OrderedInverse;10;0.001;99;108
18;insertionSort;OrderedInverse;100;0.039;9999;10098
18;insertionSort;OrderedInverse;1000;1.928;999999;1000998
18;insertionSort;OrderedInverse;10000;170.645;99999999;100009998
18;insertionSort;AlmostOrdered;10;0.002;37;37
18;insertionSort;AlmostOrdered;100;0.004;1303;1303
18;insertionSort;AlmostOrdered;1000;0.293;130821;130821
18;insertionSort;AlmostOrdered;10000;21.36;12350935;12350935
18;insertionSort;Random;10;0.002;61;64
18;insertionSort;Random;100;0.049;5271;5275
18;insertionSort;Random;1000;1.966;509159;509162
18;insertionSort;Random;10000;87.266;50433783;50433790
