Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
7;splaySort;Ordered;10;0.005;56;88
7;splaySort;Ordered;100;0.019;596;898
7;splaySort;Ordered;1000;0.321;5996;8998
7;splaySort;Ordered;10000;0.944;59996;89998
7;splaySort;OrderedInverse;10;0.006;56;88
7;splaySort;OrderedInverse;100;0.076;596;898
7;splaySort;OrderedInverse;1000;0.258;5996;8998
7;splaySort;OrderedInverse;10000;0.943;59996;89998
7;splaySort;AlmostOrdered;10;0.003;71;110
7;splaySort;AlmostOrdered;100;0.065;1373;2067
7;splaySort;AlmostOrdered;1000;0.338;21644;32894
7;splaySort;AlmostOrdered;10000;2.849;316075;478589
7;splaySort;Random;10;0.004;108;167
7;splaySort;Random;100;0.095;2503;3807
7;splaySort;Random;1000;0.388;43827;66392
7;splaySort;Random;10000;5.654;632273;958080
