Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
6;heapSort;Ordered;10;0.007;47;151
6;heapSort;Ordered;100;0.05;966;2732
6;heapSort;Ordered;1000;0.714;14852;39058
6;heapSort;Ordered;10000;59.997;197606;510854
6;heapSort;OrderedInverse;10;0.005;43;119
6;heapSort;OrderedInverse;100;0.126;872;2280
6;heapSort;OrderedInverse;1000;0.718;13613;33895
6;heapSort;OrderedInverse;10000;58.579;186205;456269
6;heapSort;AlmostOrdered;10;0.005;45;143
6;heapSort;AlmostOrdered;100;0.039;953;2635
6;heapSort;AlmostOrdered;1000;0.726;14325;37777
6;heapSort;AlmostOrdered;10000;59.147;193114;494880
6;heapSort;Random;10;0.008;46;144
6;heapSort;Random;100;0.173;945;2531
6;heapSort;Random;1000;0.672;14358;36870
6;heapSort;Random;10000;58.495;193005;484627
