Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
45;bubbleSort;Ordered;100;0.026;101;3
45;bubbleSort;Ordered;10;0.003;11;3
45;bubbleSort;Ordered;10000;0.027;10001;3
45;bubbleSort;Ordered;1000;0.021;1001;3
45;bubbleSort;OrderedInverse;10;0.019;99;191
45;bubbleSort;OrderedInverse;100;0.121;9999;19901
45;bubbleSort;OrderedInverse;1000;2.689;999999;1999001
45;bubbleSort;OrderedInverse;10000;266.798;99999999;199990001
45;bubbleSort;AlmostOrdered;10;0.002;41;30
45;bubbleSort;AlmostOrdered;100;0.052;4379;2667
45;bubbleSort;AlmostOrdered;1000;1.084;430011;252070
45;bubbleSort;AlmostOrdered;10000;102.118;43402263;24872051
45;bubbleSort;Random;10;0.005;74;94
45;bubbleSort;Random;100;0.126;7434;10099
45;bubbleSort;Random;1000;2.44;739413;967090
45;bubbleSort;Random;10000;257.618;75179133;100729966
