Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
11;splaySort;Ordered;10;0.005;56;88
11;splaySort;Ordered;100;0.067;596;898
11;splaySort;Ordered;1000;0.172;5996;8998
11;splaySort;Ordered;10000;0.833;59996;89998
11;splaySort;OrderedInverse;10;0.004;56;88
11;splaySort;OrderedInverse;100;0.041;596;898
11;splaySort;OrderedInverse;1000;0.147;5996;8998
11;splaySort;OrderedInverse;10000;1.058;59996;89998
11;splaySort;AlmostOrdered;10;0.003;66;106
11;splaySort;AlmostOrdered;100;0.024;1275;1935
11;splaySort;AlmostOrdered;1000;0.346;22067;33407
11;splaySort;AlmostOrdered;10000;2.939;316216;478831
11;splaySort;Random;10;0.003;101;158
11;splaySort;Random;100;0.065;2410;3669
11;splaySort;Random;1000;0.48;43967;66792
11;splaySort;Random;10000;5.311;631250;956545
