Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.166;11;3
1;bubbleSort;Ordered;100;0.126;101;3
1;bubbleSort;Ordered;1000;0.265;1001;3
1;bubbleSort;Ordered;10000;0.187;10001;3
1;bubbleSort;OrderedInverse;10;0.003;99;191
1;bubbleSort;OrderedInverse;100;0.169;9999;19901
1;bubbleSort;AlmostOrdered;10;0.092;23;16
1;bubbleSort;AlmostOrdered;100;0.139;4214;2859
1;bubbleSort;Ordered;100000;2.131;100001;3
1;bubbleSort;Random;100;0.377;7518;9980
1;insertionSort;Ordered;100;0.005;297;297
1;bubbleSort;Random;10;2.245;82;119
1;bubbleSort;Random;1000;56.422;744776;982018
1;bubbleSort;AlmostOrdered;1000;57.602;424922;256782
1;heapSort;Ordered;10;2.021;47;151
1;heapSort;OrderedInverse;10;2.442;43;119
1;insertionSort;OrderedInverse;10;2.04;99;108
1;heapSort;OrderedInverse;100;2.187;872;2280
1;bubbleSort;OrderedInverse;1000;61.099;999999;1999001
1;heapSort;OrderedInverse;1000;3.504;13613;33895
1;heapSort;AlmostOrdered;100;0.13;942;2590
1;heapSort;Ordered;1000;6.201;14852;39058
1;heapSort;Random;10;0.122;45;139
1;insertionSort;Ordered;10;0.032;27;27
1;heapSort;AlmostOrdered;10;92.521;47;147
1;insertionSort;Ordered;1000;90.883;2997;2997
1;heapSort;Random;100;93.898;936;2526
1;heapSort;AlmostOrdered;1000;94.856;14362;37856
1;insertionSort;OrderedInverse;100;0.104;9999;10098
1;heapSort;Random;1000;120.589;14421;36999
1;heapSort;Ordered;100;0.141;966;2732
1;insertionSort;AlmostOrdered;10;0.041;33;33
1;insertionSort;Ordered;10000;199.605;29997;29997
1;insertionSort;AlmostOrdered;100;0.023;1703;1703
1;insertionSort;OrderedInverse;1000;78.856;999999;1000998
1;insertionSort;AlmostOrdered;1000;3.301;131151;131151
1;insertionSort;Ordered;100000;380.35;299997;299997
1;insertionSort;Random;100;0.064;5221;5229
1;insertionSort;Random;10;0.008;73;77
1;insertionSort;Random;1000;92.616;493511;493519
1;mergeSort;Ordered;10;0.017;134;164
1;mergeSort;Ordered;100;0.108;2275;2575
1;mergeSort;Random;10;0.04;134;164
1;mergeSort;Ordered;1000;165.708;31964;34964
1;mergeSort;Random;1000;47.776;31964;34964
1;selectionSort;OrderedInverse;10;0.013;88;40
1;quickSort;Ordered;100;0.663;10197;11090
1;quickSort;OrderedInverse;10;0.02;92;150
1;quickSort;OrderedInverse;100;0.79;7697;6090
1;mergeSort;AlmostOrdered;1000;2.878;31964;34964
1;mergeSort;AlmostOrdered;10;0.014;134;164
1;selectionSort;Ordered;10;56.357;63;0
1;selectionSort;Ordered;100;56.418;5148;0
1;splaySort;Ordered;10;66.945;186;253
1;mergeSort;Random;100;3.313;2275;2575
1;selectionSort;AlmostOrdered;10;0.006;66;12
1;splaySort;AlmostOrdered;10;0.059;187;249
1;splaySort;Random;10;67.7;210;289
1;splaySort;AlmostOrdered;100;0.183;2616;3642
1;selectionSort;AlmostOrdered;100;0.675;5295;294
1;mergeSort;AlmostOrdered;100;1.226;2275;2575
1;selectionSort;OrderedInverse;1000;93.113;751498;251500
1;quickSort;AlmostOrdered;10;109.898;97;170
1;mergeSort;OrderedInverse;10;100.374;134;164
1;mergeSort;OrderedInverse;100;119.344;2275;2575
1;splaySort;Random;1000;1116.99;54804;79867
1;selectionSort;OrderedInverse;100;0.098;7648;2650
1;quickSort;Ordered;10;0.076;117;200
1;splaySort;Ordered;1000;2.63;24220;33751
1;splaySort;OrderedInverse;10;100.853;125;156
1;selectionSort;Random;10;0.005;78;36
1;selectionSort;Random;100;0.06;5511;645
1;selectionSort;Ordered;1000;197.769;501498;0
1;quickSort;Random;10;210.974;57;110
1;quickSort;Random;100;211.145;1105;1324
1;quickSort;Random;1000;216.906;18956;19622
1;quickSort;AlmostOrdered;1000;275.791;268628;274022
1;splaySort;Random;100;295.763;3578;5106
1;quickSort;Ordered;1000;475.216;1001997;1010990
1;quickSort;AlmostOrdered;100;459.673;3228;3820
1;selectionSort;AlmostOrdered;1000;572.213;503938;3925
1;splaySort;OrderedInverse;100;584.837;1295;1596
1;splaySort;Ordered;100;626.865;2322;3221
1;quickSort;OrderedInverse;1000;734.061;751997;510990
1;splaySort;OrderedInverse;1000;964.543;12995;15996
1;mergeSort;OrderedInverse;1000;950.646;31964;34964
1;selectionSort;Random;1000;935.018;507005;8474
1;splaySort;AlmostOrdered;10000;1094.76;465362;674401
1;splaySort;AlmostOrdered;1000;1199.4;36543;52351
1;heapSort;OrderedInverse;10000;2919.02;186205;456269
1;splaySort;OrderedInverse;10000;2124.75;129995;159996
1;mergeSort;Ordered;10000;2461.46;428984;458984
1;splaySort;Ordered;10000;2217.59;243839;340080
1;heapSort;Ordered;10000;3563.91;197606;510854
1;splaySort;Random;10000;2670.36;745988;1098538
1;heapSort;Random;10000;3909.23;193127;484439
1;heapSort;AlmostOrdered;10000;4134.99;193015;494859
1;mergeSort;OrderedInverse;10000;3758.97;428984;458984
1;insertionSort;AlmostOrdered;10000;4765.53;12632681;12632681
1;splaySort;OrderedInverse;100000;5097.68;1299995;1599996
1;mergeSort;AlmostOrdered;10000;6364.07;428984;458984
1;splaySort;Ordered;100000;6318.22;2440827;3404758
1;mergeSort;Random;10000;6783.1;428984;458984
1;quickSort;Random;10000;7723.78;249005;230998
1;splaySort;AlmostOrdered;100000;13337.8;5647170;8245543
1;selectionSort;Ordered;10000;16313.5;50014998;0
1;insertionSort;Random;10000;18045.6;50464763;50464774
1;selectionSort;Random;10000;17984.7;50093997;108975
1;selectionSort;OrderedInverse;10000;18775;75014998;25015000
1;bubbleSort;AlmostOrdered;10000;21295.3;43140197;25210239
1;bubbleSort;Random;10000;21462.5;75211517;100879431
1;selectionSort;AlmostOrdered;10000;21042.5;50050538;50522
1;splaySort;Random;100000;21377.2;9443519;13972037
