Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
6;bubbleSort;AlmostOrdered;10000;102.425;43522421;24867763
6;bubbleSort;Random;10;0.024;74;91
6;bubbleSort;Random;100;0.052;7485;9974
6;bubbleSort;Random;1000;3.033;751790;1012486
6;bubbleSort;Random;10000;256.638;74903641;99605303
6;bubbleSort;Ordered;100000;0.387;100001;3
6;bubbleSort;OrderedInverse;100000;26336.2;9999999999;19999900001
6;bubbleSort;AlmostOrdered;100000;11309;4365513505;2496463358
6;bubbleSort;Random;100000;27606.9;7497527556;9990329023
7;bubbleSort;Ordered;10;0.003;11;3
7;bubbleSort;Ordered;100;0.005;101;3
7;bubbleSort;Ordered;1000;0.008;1001;3
7;bubbleSort;Ordered;10000;0.172;10001;3
7;bubbleSort;OrderedInverse;10;0.003;99;191
7;bubbleSort;OrderedInverse;100;0.178;9999;19901
7;bubbleSort;OrderedInverse;1000;3.869;999999;1999001
7;bubbleSort;OrderedInverse;10000;265.436;99999999;199990001
7;bubbleSort;AlmostOrdered;10;0.003;33;25
7;bubbleSort;AlmostOrdered;100;0.309;3705;2221
7;bubbleSort;AlmostOrdered;1000;1.755;431026;258197
7;bubbleSort;AlmostOrdered;10000;102.005;43202561;25111348
7;bubbleSort;Random;10;0.003;59;60
7;bubbleSort;Random;100;0.159;7833;11366
7;bubbleSort;Random;1000;2.248;750525;1002088
7;bubbleSort;Random;10000;257.149;75512572;102067314
7;bubbleSort;Ordered;100000;0.269;100001;3
7;bubbleSort;OrderedInverse;100000;26642.9;9999999999;19999900001
7;bubbleSort;AlmostOrdered;100000;11389.7;4359553964;2512238545
7;bubbleSort;Random;100000;27658.1;7505465087;10021788787
8;bubbleSort;Ordered;100;0.005;101;3
8;bubbleSort;Ordered;10;0.004;11;3
8;bubbleSort;Ordered;1000;0.009;1001;3
8;bubbleSort;Ordered;10000;0.126;10001;3
8;bubbleSort;OrderedInverse;10;0.02;99;191
8;bubbleSort;OrderedInverse;100;0.088;9999;19901
8;bubbleSort;OrderedInverse;1000;2.738;999999;1999001
8;bubbleSort;OrderedInverse;10000;267.645;99999999;199990001
8;bubbleSort;AlmostOrdered;10;0.002;32;21
8;bubbleSort;AlmostOrdered;100;0.013;3994;2660
8;bubbleSort;AlmostOrdered;1000;1.112;411746;267037
8;bubbleSort;AlmostOrdered;10000;101.641;43260862;24976974
8;bubbleSort;Random;10;0.024;79;114
8;bubbleSort;Random;100;0.047;7660;10674
8;bubbleSort;Random;1000;2.157;743678;975663
8;bubbleSort;Random;10000;255.704;74907897;99672307
8;bubbleSort;Ordered;100000;0.265;100001;3
8;bubbleSort;OrderedInverse;100000;26333;9999999999;19999900001
8;bubbleSort;AlmostOrdered;100000;11268.2;4362276123;2492548885
8;bubbleSort;Random;100000;27525.1;7507563969;10030307399
9;bubbleSort;Ordered;10;0.004;11;3
9;bubbleSort;Ordered;100;0.003;101;3
9;bubbleSort;Ordered;1000;0.008;1001;3
9;bubbleSort;Ordered;10000;0.03;10001;3
9;bubbleSort;OrderedInverse;10;0.004;99;191
9;bubbleSort;OrderedInverse;100;0.157;9999;19901
9;bubbleSort;OrderedInverse;1000;2.915;999999;1999001
9;bubbleSort;OrderedInverse;10000;267.051;99999999;199990001
9;bubbleSort;AlmostOrdered;10;0.026;43;38
9;bubbleSort;AlmostOrdered;100;0.047;3608;2331
9;bubbleSort;AlmostOrdered;1000;0.931;421784;252714
9;bubbleSort;AlmostOrdered;10000;102.517;43591956;24984775
9;bubbleSort;Random;10;0.003;87;143
9;bubbleSort;Random;100;0.076;7166;9465
9;bubbleSort;Random;1000;2.093;751726;1009305
9;bubbleSort;Random;10000;260.38;75152730;100606171
9;bubbleSort;Ordered;100000;0.276;100001;3
9;bubbleSort;OrderedInverse;100000;28876;9999999999;19999900001
9;bubbleSort;AlmostOrdered;100000;12639.3;4352182946;2496060667
9;bubbleSort;Random;100000;31509.5;7500420627;10001755672
10;bubbleSort;Ordered;10;0.003;11;3
10;bubbleSort;Ordered;1000;0.005;1001;3
10;bubbleSort;Ordered;100;0.012;101;3
10;bubbleSort;Ordered;10000;0.028;10001;3
10;bubbleSort;OrderedInverse;10;0.013;99;191
10;bubbleSort;OrderedInverse;100;0.072;9999;19901
10;bubbleSort;OrderedInverse;1000;5.308;999999;1999001
10;bubbleSort;OrderedInverse;10000;272.687;99999999;199990001
10;bubbleSort;AlmostOrdered;10;0.004;21;8
10;bubbleSort;AlmostOrdered;100;0.031;4084;2789
10;bubbleSort;AlmostOrdered;1000;1.242;422786;254595
10;bubbleSort;AlmostOrdered;10000;104.515;43694558;24993483
10;bubbleSort;Random;10;0.002;80;115
10;bubbleSort;Random;100;0.076;7778;11088
10;bubbleSort;Random;1000;2.176;754142;1020031
10;bubbleSort;Random;10000;260.437;74878330;99515253
10;bubbleSort;Ordered;100000;0.413;100001;3
10;bubbleSort;OrderedInverse;100000;26527.6;9999999999;19999900001
10;bubbleSort;AlmostOrdered;100000;11486.8;4372964415;2504615914
10;bubbleSort;Random;100000;27943.4;7507462808;10029771733
11;bubbleSort;Ordered;100;0.065;101;3
11;bubbleSort;Ordered;10;0.033;11;3
11;bubbleSort;Ordered;1000;0.031;1001;3
11;bubbleSort;Ordered;10000;0.033;10001;3
11;bubbleSort;OrderedInverse;10;0.003;99;191
11;bubbleSort;OrderedInverse;100;0.111;9999;19901
11;bubbleSort;OrderedInverse;1000;2.885;999999;1999001
11;bubbleSort;OrderedInverse;10000;271.404;99999999;199990001
11;bubbleSort;AlmostOrdered;10;0.003;47;31
11;bubbleSort;AlmostOrdered;100;0.015;4027;2111
11;bubbleSort;AlmostOrdered;1000;1.14;427511;248283
11;bubbleSort;AlmostOrdered;10000;101.796;43446975;24545824
11;bubbleSort;Random;10;0.003;83;127
11;bubbleSort;Random;100;0.088;7498;9968
11;bubbleSort;Random;1000;2.305;739785;963598
11;bubbleSort;Random;10000;254.108;74822839;99425270
11;bubbleSort;Ordered;100000;0.297;100001;3
11;bubbleSort;OrderedInverse;100000;26426.4;9999999999;19999900001
11;bubbleSort;AlmostOrdered;100000;11354.3;4362299750;2508926904
11;bubbleSort;Random;100000;27647.6;7506605032;10026539579
12;bubbleSort;Ordered;10;0.004;11;3
12;bubbleSort;Ordered;100;0.004;101;3
12;bubbleSort;Ordered;1000;0.005;1001;3
12;bubbleSort;Ordered;10000;0.079;10001;3
12;bubbleSort;OrderedInverse;10;0.001;99;191
12;bubbleSort;OrderedInverse;100;0.11;9999;19901
12;bubbleSort;OrderedInverse;1000;2.886;999999;1999001
12;bubbleSort;OrderedInverse;10000;269.384;99999999;199990001
12;bubbleSort;AlmostOrdered;10;0.002;31;17
12;bubbleSort;AlmostOrdered;100;0.012;4268;2641
12;bubbleSort;AlmostOrdered;1000;1.062;425936;246145
12;bubbleSort;AlmostOrdered;10000;103.198;43631971;25205228
12;bubbleSort;Random;10;0.017;74;87
12;bubbleSort;Random;100;0.195;7518;10711
12;bubbleSort;Random;1000;2.392;750306;1006327
12;bubbleSort;Random;10000;258.398;75112316;100584253
12;bubbleSort;Ordered;100000;0.544;100001;3
12;bubbleSort;OrderedInverse;100000;26437.1;9999999999;19999900001
12;bubbleSort;AlmostOrdered;100000;11538.8;4363611220;2496081614
12;bubbleSort;Random;100000;27874.4;7489703600;9959645328
13;bubbleSort;Ordered;10;0.003;11;3
13;bubbleSort;Ordered;100;0.005;101;3
13;bubbleSort;Ordered;1000;0.092;1001;3
13;bubbleSort;Ordered;10000;0.071;10001;3
13;bubbleSort;OrderedInverse;10;0.016;99;191
13;bubbleSort;OrderedInverse;100;0.055;9999;19901
13;bubbleSort;OrderedInverse;1000;2.787;999999;1999001
13;bubbleSort;OrderedInverse;10000;270.275;99999999;199990001
13;bubbleSort;AlmostOrdered;10;0.003;31;17
13;bubbleSort;AlmostOrdered;100;0.014;4092;2821
13;bubbleSort;AlmostOrdered;1000;1.026;432258;246701
13;bubbleSort;AlmostOrdered;10000;101.431;43356076;24606323
13;bubbleSort;Random;10;0.003;77;106
13;bubbleSort;Random;100;0.144;7203;9613
13;bubbleSort;Random;1000;3.265;740781;962650
13;bubbleSort;Random;10000;256.843;74754745;99016979
13;bubbleSort;Ordered;100000;0.328;100001;3
13;bubbleSort;OrderedInverse;100000;26514.2;9999999999;19999900001
13;bubbleSort;AlmostOrdered;100000;11288.2;4351030127;2488423726
13;bubbleSort;Random;100000;27490;7502059547;10008188907
