Interation;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.008000;11;3
1;bubbleSort;Ordered;100;0.006000;101;3
1;bubbleSort;OrderedInverse;10;0.007000;99;191
1;bubbleSort;OrderedInverse;100;0.296000;9999;19901
1;bubbleSort;AlmostOrdered;10;0.005000;50;43
1;bubbleSort;AlmostOrdered;100;0.111000;4050;2426
1;bubbleSort;Random;10;0.006000;66;88
1;bubbleSort;Random;100;0.243000;7449;9701
1;heapSort;Ordered;10;0.036000;47;151
1;heapSort;Ordered;100;0.345000;966;2732
1;heapSort;OrderedInverse;10;0.033000;43;119
1;heapSort;OrderedInverse;100;0.338000;872;2280
1;heapSort;AlmostOrdered;10;0.035000;43;147
1;heapSort;AlmostOrdered;100;0.380000;942;2624
1;heapSort;Random;10;0.036000;47;145
1;heapSort;Random;100;0.346000;942;2540
1;insertionSort;Ordered;10;0.004000;27;27
1;insertionSort;Ordered;100;0.008000;297;297
1;insertionSort;OrderedInverse;10;0.006000;99;108
1;insertionSort;OrderedInverse;100;0.213000;9999;10098
1;insertionSort;AlmostOrdered;10;0.005000;45;45
1;insertionSort;AlmostOrdered;100;0.035000;1487;1487
1;insertionSort;Random;10;0.005000;65;66
1;insertionSort;Random;100;0.110000;5089;5093
1;mergeSort;Ordered;10;0.033000;134;164
1;mergeSort;Ordered;100;0.350000;2275;2575
1;mergeSort;OrderedInverse;10;0.039000;134;164
1;mergeSort;OrderedInverse;100;0.337000;2275;2575
1;mergeSort;AlmostOrdered;10;0.031000;134;164
1;mergeSort;AlmostOrdered;100;0.347000;2275;2575
1;mergeSort;Random;10;0.033000;134;164
1;mergeSort;Random;100;0.317000;2275;2575
1;quickSort;Ordered;10;0.048000;117;200
1;quickSort;Ordered;100;0.766000;10197;11090
1;quickSort;OrderedInverse;10;0.046000;92;150
1;quickSort;OrderedInverse;100;0.659000;7697;6090
1;quickSort;AlmostOrdered;10;0.037000;61;120
1;quickSort;AlmostOrdered;100;0.477000;3437;4016
1;quickSort;Random;10;0.037000;53;106
1;quickSort;Random;100;0.357000;1398;1570
1;selectionSort;Ordered;10;0.005000;63;0
1;selectionSort;Ordered;100;0.101000;5148;0
1;selectionSort;OrderedInverse;10;0.006000;88;40
1;selectionSort;OrderedInverse;100;0.119000;7648;2650
1;selectionSort;AlmostOrdered;10;0.028000;69;15
1;selectionSort;AlmostOrdered;100;0.112000;5270;257
1;selectionSort;Random;10;0.006000;74;29
1;selectionSort;Random;100;0.125000;5482;622
1;splaySort;Ordered;10;0.030000;186;253
1;splaySort;Ordered;100;0.203000;2322;3221
1;splaySort;OrderedInverse;10;0.020000;125;156
1;splaySort;OrderedInverse;100;0.119000;1295;1596
1;splaySort;AlmostOrdered;10;0.024000;163;216
1;splaySort;AlmostOrdered;100;0.237000;2751;3855
1;splaySort;Random;10;0.024000;182;239
1;splaySort;Random;100;0.312000;3618;5186
