Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.181;11;3
1;bubbleSort;Ordered;1000;0.071;1001;3
1;bubbleSort;Ordered;100;0.566;101;3
1;bubbleSort;OrderedInverse;10;0.137;99;191
1;bubbleSort;Ordered;10000;0.833;10001;3
1;bubbleSort;AlmostOrdered;10;0.005;46;27
1;bubbleSort;OrderedInverse;100;0.548;9999;19901
1;bubbleSort;AlmostOrdered;100;0.126;4103;2638
1;bubbleSort;Random;10;0.065;72;97
1;bubbleSort;Random;100;0.338;7383;9601
1;heapSort;Ordered;100;0.33;966;2732
1;heapSort;OrderedInverse;100;0.942;872;2280
1;heapSort;OrderedInverse;1000;15.855;13613;33895
1;heapSort;Random;10;0.018;45;147
1;heapSort;OrderedInverse;10;0.15;43;119
1;heapSort;Random;100;0.276;904;2498
1;heapSort;AlmostOrdered;10;0.612;43;147
1;bubbleSort;AlmostOrdered;1000;30.182;432440;261786
1;insertionSort;OrderedInverse;100;0.118;9999;10098
1;insertionSort;AlmostOrdered;10;0.004;37;37
1;insertionSort;AlmostOrdered;100;0.022;1593;1593
1;mergeSort;AlmostOrdered;10;0.05;134;164
1;splaySort;OrderedInverse;100;0.143;1295;1596
1;splaySort;Random;10;0.287;212;293
1;heapSort;AlmostOrdered;100;0.66;929;2629
1;insertionSort;AlmostOrdered;1000;22.563;133647;133647
1;mergeSort;OrderedInverse;10;0.016;134;164
1;mergeSort;OrderedInverse;100;0.137;2275;2575
1;mergeSort;AlmostOrdered;100;1.275;2275;2575
1;quickSort;Random;10;0.015;51;100
1;mergeSort;Ordered;10;0.025;134;164
1;heapSort;AlmostOrdered;1000;10.851;14330;37772
1;splaySort;AlmostOrdered;100;11.372;2700;3794
1;heapSort;Random;1000;11.792;14324;36774
1;selectionSort;AlmostOrdered;1000;538.685;503899;3886
1;selectionSort;AlmostOrdered;10;0.012;67;13
1;selectionSort;OrderedInverse;1000;689.453;751498;251500
1;heapSort;Ordered;1000;7.751;14852;39058
1;splaySort;Random;100;2.916;3601;5145
1;splaySort;Random;1000;33.679;55243;80712
1;selectionSort;AlmostOrdered;100;0.048;5297;287
1;insertionSort;OrderedInverse;10;0.092;99;108
1;splaySort;Ordered;10;0.153;186;253
1;splaySort;OrderedInverse;1000;685.174;12995;15996
1;mergeSort;Random;10;75.263;134;164
1;bubbleSort;OrderedInverse;1000;136.862;999999;1999001
1;quickSort;Ordered;10;80.585;117;200
1;mergeSort;Random;1000;80.798;31964;34964
1;insertionSort;Ordered;10;100.409;27;27
1;insertionSort;Ordered;1000;100.359;2997;2997
1;insertionSort;Random;1000;129.645;507511;507516
1;mergeSort;Ordered;100;129.782;2275;2575
1;quickSort;Ordered;100;130.067;10197;11090
1;quickSort;OrderedInverse;10;156.227;92;150
1;selectionSort;Ordered;10;216.619;63;0
1;selectionSort;Ordered;100;216.679;5148;0
1;selectionSort;Ordered;1000;249.058;501498;0
1;quickSort;Ordered;1000;250.974;1001997;1010990
1;selectionSort;OrderedInverse;10;376.006;88;40
1;bubbleSort;Random;1000;439.638;752487;1010027
1;quickSort;AlmostOrdered;10;335.096;61;118
1;splaySort;Ordered;100;306.933;2322;3221
1;quickSort;AlmostOrdered;100;335.722;3436;4072
1;selectionSort;Random;10;335.663;73;28
1;quickSort;OrderedInverse;100;307.612;7697;6090
1;quickSort;Random;100;413.443;1095;1300
1;heapSort;Ordered;10;469.376;47;151
1;quickSort;AlmostOrdered;1000;416.407;263074;268408
1;insertionSort;Random;10;426.097;67;69
1;insertionSort;Random;100;426.212;5041;5046
1;mergeSort;Random;100;492.901;2275;2575
1;selectionSort;Random;100;499.25;5462;599
1;splaySort;OrderedInverse;10;527.248;125;156
1;selectionSort;Random;1000;44.625;507004;8488
1;heapSort;Ordered;10000;652.954;197606;510854
1;selectionSort;OrderedInverse;100;663.716;7648;2650
1;splaySort;Ordered;10000;679.088;243839;340080
1;splaySort;AlmostOrdered;10;0.035;174;235
